title,url,text,dead,by,score,time,timestamp,type,id,parent,descendants,ranking,deleted
Comment  Google Patents a Way to Search a Video Archive of Your Life,http://www.huffingtonpost.com/entry/google-patents-searchable-video_55afda9de4b08f57d5d351ab,,,CapitalistCartr,1,1437671678,2015-07-23 17:14:38+00:00,story,9937107,,0,,
Tech4000: Something is VERY Wrong - Google,http://tech4000.blogspot.com/2009/11/something-is-very-wrong-google.html#links,,True,r5416,1,1260771822,2009-12-14 06:23:42+00:00,story,993731,,0,,
как в ubuntu настроить удаленный рабочий стол - Поиск в Google,http://www.google.ru/search?hl=ru&sitesearch=ubuntu.ru&newwindow=1&ei=5coUS4jDBpvumgPXuaj-Bg&sa=X&oi=spell&resnum=0&ct=result&cd=1&ved=0CBAQBSgA&q=%D0%BA%D0%B0%D0%BA+%D0%B2+ubuntu+%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D1%8C+%D1%83%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9+%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9+%D1%81%D1%82%D0%BE%D0%BB&spell=1,,True,passha_1212,1,1260778769,2009-12-14 08:19:29+00:00,story,993827,,-1,,
Anti-Spy Google Chrome,http://www.srware.net/en/software_srware_iron_download.php,,,macco,1,1260780687,2009-12-14 08:51:27+00:00,story,993859,,0,,
Google Patent Programs,http://www.google.com/patents/licensing/,,,kailuowang,1,1437699151,2015-07-24 00:52:31+00:00,story,9939452,,0,,
"Indian Bitcoin Exchange Joins IBM and Google at 1,000 Person Plus Hackathon",http://ish.re/PJ5D,,True,francogreen78,1,1437701409,2015-07-24 01:30:09+00:00,story,9939589,,,,
Google Timeline: Revisiting the world that you’ve explored,http://www.wired.com/2015/07/every-move-make-google-maps-will-watching/,,,jayant123,1,1437730321,2015-07-24 09:32:01+00:00,story,9940897,,0,,
Climate change in Google Earth,http://www.google.com/landing/cop15/,,,joubert,1,1260798411,2009-12-14 13:46:51+00:00,story,994105,,0,,
Foldable and waterproof Google Glass soon,http://www.gizbot.com/wearable-technology/news/foldable-waterproof-google-glass-soon-026827.html,,True,ganram,1,1437735790,2015-07-24 11:03:10+00:00,story,9941136,,,,
Google's Cable Buy: Asia Will be 'Dominant Population on Internet',http://www.datacenterknowledge.com/archives/2009/12/14/google-cables-and-the-future-of-the-web/,,,1SockChuck,1,1260799933,2009-12-14 14:12:13+00:00,story,994157,,0,,
